GSSyear                    ,Idnum,Ballot used for interview,prestige
2012,973,Ballot a,31
2012,974,Ballot b,49
2012,975,Ballot b,31
2012,976,Ballot a,65
2012,977,Ballot b,58
2012,978,Ballot c,46
2012,979,Ballot b,63
2012,980,Ballot c,72
2012,981,Ballot b,49
2012,982,Ballot c,0
2012,983,Ballot a,40
2012,984,Ballot c,59
2012,985,Ballot b,35
2012,986,Ballot c,42
2012,987,Ballot b,60
2012,988,Ballot b,31
2012,989,Ballot c,49
2012,990,Ballot a,31
2012,991,Ballot b,25
2012,992,Ballot c,40
2012,993,Ballot a,49
2012,994,Ballot b,31
2012,995,Ballot c,31
2012,996,Ballot c,61
2012,997,Ballot a,32
2012,998,Ballot c,53
2012,999,Ballot a,61
2012,1000,Ballot c,45
2012,1001,Ballot b,37
2012,1002,Ballot a,0
2012,1003,Ballot c,31
2012,1004,Ballot b,45
2012,1005,Ballot c,25
2012,1006,Ballot a,31
2012,1007,Ballot b,22
2012,1008,Ballot a,21
2012,1009,Ballot b,35
2012,1010,Ballot c,48
2012,1011,Ballot b,70
2012,1012,Ballot c,31
2012,1013,Ballot a,31
2012,1014,Ballot b,37
2012,1015,Ballot c,48
2012,1016,Ballot a,31
2012,1017,Ballot a,47
2012,1018,Ballot b,61
2012,1019,Ballot a,48
2012,1020,Ballot c,24
2012,1021,Ballot a,53
2012,1022,Ballot b,59
2012,1023,Ballot b,39
2012,1024,Ballot c,65
2012,1025,Ballot c,38
2012,1026,Ballot a,45
2012,1027,Ballot a,32
2012,1028,Ballot b,31
2012,1029,Ballot a,20
2012,1030,Ballot c,34
2012,1031,Ballot a,52
2012,1032,Ballot c,59
2012,1033,Ballot b,54
2012,1034,Ballot b,46
2012,1035,Ballot c,25
2012,1036,Ballot c,47
2012,1037,Ballot b,47
2012,1038,Ballot a,17
2012,1039,Ballot c,74
2012,1040,Ballot b,36
2012,1041,Ballot c,38
2012,1042,Ballot b,62
2012,1043,Ballot a,36
2012,1044,Ballot b,35
2012,1045,Ballot c,49
2012,1046,Ballot b,35
2012,1047,Ballot a,49
2012,1048,Ballot b,48
2012,1049,Ballot c,0
2012,1050,Ballot a,25
2012,1051,Ballot c,45
2012,1052,Ballot a,44
2012,1053,Ballot a,50
2012,1054,Ballot a,0
2012,1055,Ballot b,28
2012,1056,Ballot c,36
2012,1057,Ballot a,64
2012,1058,Ballot c,61
2012,1059,Ballot a,21
